country,name,type
China,吉林科学技术出版社,Publishers / Science and Technology Publishing
China,首师大出版社,Publishers / Comprehensive Publishing
China,长江文艺出版社,Publishers / Comprehensive Publishing
China,湖南少年儿童出版社,Publishers / Children's Publishing
China,社会科学文献出版社,Publishers / Social Science Publishing
Japan,文英堂編集部国語課,Publishers / Textbook Publishing
Japan,合同出版株式会社,Publishers / Textbook Publishing
Lithuania,"BESTIARY, UAB",Publishers / Literature Publishing
Lithuania,"BONUS ANIMUS, LEIDYBOS IR EDUKACIJOS CENTRAS",Publishers / Literature Publishing
Lithuania,"BRIEDIS, MICKEVIČIAUS K. LEIDY KLA",Publishers / Literature Publishing
Lithuania,ALGARVĖ,Publishers
Lithuania,CHARIBDĖ,Publishers
Lithuania,DRUKA,Publishers
Lithuania,DOMINICUS LITUANUS,Publishers
Japan,さくら舎営業部,Publishers / Social Science Publishing
Ukraine,Дитяче видавництво «А-БА-БА-ГА-ЛА-МА-ГА»,Publishers / Children's Publishing
Japan,"Издательство ""Альпина Бизнес Букс""",Publishers / Children's Publishing
Russia,Editorial de Espiritualidad,Publishers / Economic & Financial Publishing
Spain,Opéra,Publishers / Comprehensive Publishing
China,新疆美术摄影出版社,Publishers / Comprehensive Publishing
China,巴蜀书社,Publishers / Comprehensive Publishing
China,山东人民出版社,Publishers / Comprehensive Publishing
China,天津科技翻译出版公司,Publishers / Science and Technology Publishing
China,吉林出版集团青少书刊,Publishers / Children's Publishing
China,吉林出版集团青少书刊,Publishers / Children's Publishing
China,博文文化中心,Publishers
China,百花洲文艺出版社,Publishers / Comprehensive Publishing
Lithuania,ERIDANAS,Publishers
Lithuania,GARNELIS,Publishers
Lithuania,GIMTASIS ŽODIS,Publishers
Lithuania,HOMO LIBER,Publishers
Lithuania,INSTITUTE OF LITHUANIAN LANGUAGE,Publishers
Lithuania,INSTITUTE OF LITHUANIAN LITERATURE AND FOLKLORE,Publishers
Lithuania,JŪSŲ FLINTAS,Publishers
Lithuania,JOTEMA,Publishers
Lithuania,KALENDORIUS,Publishers
Lithuania,KRONTA,Publishers
Lithuania,LUTUTĖ,Publishers
Lithuania,MAGILĖ,Publishers
Lithuania,NAUJOJI ROSMA,Publishers
Lithuania,NIEKO RIMTO,Publishers
Lithuania,OBUOLYS,Publishers
Japan,林檎プロモーション,Publishers / Culture & Art Publishing
Japan,株式会社サンマーク出版,Publishers / Comprehensive Publishing
Japan,株式会社柴田書店　制作部,Publishers / Lifestyle Publishing
Japan,株式会社ディスカヴァー・トゥエンティワン,Publishers / Comprehensive Publishing
China,民族出版社,Publishers / Comprehensive Publishing
China,北京蓝指纹图书公司,Publishers / Comprehensive Publishing
China,天津人民美术出版社,Publishers / Comprehensive Publishing
Japan,株式会社コスミック出版,Publishers / Social Science Publishing
Japan,成甲書房,Publishers / Social Science Publishing
Japan,株式会社 ポプラ社,Publishers / Children's Publishing
China,上海科学普及出版社,Publishers / Comprehensive Publishing
China,上海中医药大学出版社,Publishers / Scholarly Publishing
China,同济大学出版社,Publishers / Comprehensive Publishing
China,上海社会科学院出版社,Publishers / Social Science Publishing
China,现代出版社,Publishers / Comprehensive Publishing
China,首都师范大学出版社,Publishers / Comprehensive Publishing
China,山东画报出版社,Publishers
China,文化艺术出版社,Publishers
China,山东友谊出版社,Publishers / Comprehensive Publishing
China,天津人民美术出版社,Publishers / Comprehensive Publishing
"Taiwan, China",台灣角川,Publishers / Comprehensive Publishing
India,Mehta Publishing House,Publishers
Japan,株式会社冨山房インターナショナル,Publishers / Comprehensive Publishing
Japan,株式会社 エーワークス,Publishers / Culture & Art Publishing
Japan,ＴＡＣ株式会社,Publishers / Economic & Financial Publishing
Japan,株式会社エディスタ,Publishers / Social Science Publishing
Japan,株式会社　鳳書院,Publishers / Social Science Publishing
"Taiwan, China",秀威資訊科技股份有限公司,Publishers / Comprehensive Publishing
Japan,株式会社西東社,Publishers / Social Science Publishing
Japan,株式会社啓明書房,Publishers / Social Science Publishing
Japan,株式会社　ジアース教育新社,Publishers / Social Science Publishing
China,蓝天出版社,Publishers
China,百花文艺出版社,Publishers / Comprehensive Publishing
China,北京师范大学出版社,Publishers / Comprehensive Publishing
China,北京师范大学出版社,Publishers / Comprehensive Publishing
China,南开大学出版社,Publishers / Comprehensive Publishing
China,天津杨柳青画社,Publishers / Culture & Art Publishing
China,连环画出版社,Publishers / Culture & Art Publishing
China,北京博爱天使出版公司,Publishers / Comprehensive Publishing
China,武汉中图,Publishers / Scholarly Publishing
China,上海大学出版社,Publishers / Comprehensive Publishing
China,吉林出版集团,Publishers / Comprehensive Publishing
"Hong Kong, China",香港萬里出版機構,Publishers / Comprehensive Publishing
Japan,株式会社 新講社,Publishers / Social Science Publishing
Germany,goldegg-verlag,Publishers
"Taiwan, China",讀書共和國,Publishers / Comprehensive Publishing
Ukraine,Издательство «Литера Нова»,Publishers / Scholarly Publishing
Lithuania,"BERNARDINAI.LT, VŠĮ",Publishers / Comprehensive Publishing
Lithuania,"BEATOS VIRTUVĖ, UAB",Publishers / Economic & Financial Publishing
Lithuania,BAŽNYTINIO PAVELDO MUZIEJUS,Publishers / Economic & Financial Publishing
Lithuania,"BALTOSIOS GULBĖS, DAKTARO SINELNIKOVO DRAUGŲ KLUBAS",Publishers / Scholarly Publishing
Lithuania,BALTO UAB,Publishers / Comprehensive Publishing
Lithuania,BALTIJOS GRIAUSTINIS VŠĮ MUZIKOS LEIDYKLA DANGUS,Publishers / Audio-visual Publishing
Russia,Издательский дом Светланы Пеуновой,Publishers / Literature Publishing
Russia,Издательско-полиграфический центр Уральского федерального университета (ИПУ УрФУ),Publishers / Science and Technology Publishing
Russia,Издательства Мордовского государственного университета им. Н. П. Огарева,Publishers / Literature Publishing
Russia,Издательство Петрозаводского государственного университета,Publishers / Textbook Publishing
Russia,Истина,Publishers
Russia,КАББАЛККНИГА - ОАО,Publishers
Russia,Картуш (Картуш-полиграфическая фирма),Publishers / Other
Russia,Книжное обозрение (Издательский Дом - ЗАО),Publishers / Literature Publishing
Russia,О-Краткое,Publishers / Literature Publishing
Russia,Омега-Л,Publishers / Textbook Publishing
Russia,Петербургское востоковедение,Publishers / Scholarly Publishing
"Taiwan, China",三采文化出版事業有限公司,Publishers / Comprehensive Publishing
China,机械工业出版社,Publishers / Comprehensive Publishing
"Hong Kong, China",万里机构（深圳分部）,Publishers / Lifestyle Publishing
China,新经典文化有限公司,Publishers / Comprehensive Publishing
China,山东朗朗书业有限公司,Publishers / Children's Publishing
China,北京华文天下,Publishers / Comprehensive Publishing
China,上海译文出版社,Publishers / Literature Publishing
China,山东教育出版社,Publishers / Textbook Publishing
China,山东人民出版社,Publishers / Comprehensive Publishing
China,湖北少年儿童出版社,Publishers / Children's Publishing
China,东北林业大学出版社,Publishers
"Taiwan, China",城邦文化事业股份有限公司（麦田出版事业部）,Publishers
"Taiwan, China",英属维京群岛商（四也资本有限公司台湾分公司）,Publishers
"Taiwan, China",如何出版（先觉出版股份有限公司）,Publishers
China,妇女出版社,Publishers / Lifestyle Publishing
Japan,株式会社エンターブレイン,Publishers / Comprehensive Publishing
Russia,Феникс,Publishers / Literature Publishing
Russia,Чувашское книжное издательство,Publishers / Textbook Publishing
United Arab Emirates,Rue des enfants,Publishers
France,MGHBooks Co.,Publishers
Korea,北京时代华文书局 第二事业部,Publishers / Culture & Art Publishing
China,Aktive Musik Verlagsgesellschaft mbH,Publishers / Comprehensive Publishing
Germany,光明日报出版社,Publishers / Audio-visual Publishing
China,五洲传播出版社,Publishers / Comprehensive Publishing
China,Penguin Group,Publishers / Comprehensive Publishing
United States,北京长江新世纪文化传媒有限公司,Publishers / Comprehensive Publishing
China,北京长江新世纪文化传媒有限公司,Publishers / Comprehensive Publishing
China,北京长江新世纪文化传媒有限公司,Publishers / Comprehensive Publishing
China,有限会社 ケイ・エム・ピー (kmp),Publishers / Comprehensive Publishing
Japan,headroom sound production GmbH & Co. KG,Publishers / Culture & Art Publishing
Germany,Verlag Herder,Publishers
Germany,(株)彩雲出版,Publishers / Comprehensive Publishing
Japan,株式会社三光出版社,Publishers / Social Science Publishing
Japan,中国财政经济出版社,Publishers / Comics Publishing
China,中国环境科学出版社,Publishers / Economic & Financial Publishing
China,Annette Betz Verlag,Publishers / Social Science Publishing
Germany,中南博集天卷文化传媒有限公司,Publishers / Children's Publishing
China,江苏博亚桂冠图书文化有限公司,Publishers / Comprehensive Publishing
China,Ves Mir Publishers,Publishers / Children's Publishing
Russia,VERITAS-Verlags,Publishers
Austria,Franz Steiner Verlag,Publishers / Children's Publishing
Germany,"Little, Brown Book Group",Publishers / Comprehensive Publishing
United Kingdom,HarperCollins General Books Group,Publishers / Comprehensive Publishing
United States,St. Martin’s Press,Publishers / Comprehensive Publishing
United States,Penguin Group,Publishers / Comprehensive Publishing
United States,BenBella Books,Publishers / Comprehensive Publishing
United States,Zondervan,Publishers / Comprehensive Publishing
China,科学普及出版社,Publishers / Popular Science Publishing
China,天津教育出版社,Publishers / Textbook Publishing
China,人民出版社,Publishers / Social Science Publishing
China,天舟文化股份有限公司,Publishers / Comprehensive Publishing
China,北京紫图图书有限公司,Publishers / Comprehensive Publishing
China,中国财富出版社,Publishers / Comprehensive Publishing
China,四川文艺出版社,Publishers / Culture & Art Publishing
Canada,Folklore Publishing,Publishers
Switzerland,Appenzeller Verlag,Publishers
United States,Wiley,Publishers / Comprehensive Publishing
Singapore,Wiley,Publishers / Comprehensive Publishing
United States,"Spiegel & Grau Random House, Inc.",Publishers / Comprehensive Publishing
United States,Allen Press,Publishers
South Africa,Jonathan Ball Publishers,Publishers
South Africa,Blue Weaver,Publishers
United Kingdom,V&A South Kensington,Publishers
Korea,(주)나한기획,Publishers / Children's Publishing
United States,Holiday House,Publishers
Germany,Verlagshaus Jacoby & Stuart,Publishers / Comprehensive Publishing
Japan,株式会社学研出版ホールディングス,Publishers
Germany,NordSüd Verlag,Publishers / Children's Publishing
United States,Chronicle Books,Publishers / Children's Publishing
Germany,Franckh-Kosmos Verlags-GmbH & Co. KG,Publishers / Comprehensive Publishing
Germany,kosmos  Verlag,Publishers / Comprehensive Publishing
China,凤凰联动文化传媒公司,Publishers / Comprehensive Publishing
China,北京凤凰千高原文化传播有限公司,Publishers / Comprehensive Publishing
China,人民交通出版社,Publishers / Comprehensive Publishing
China,中国人民大学出版社,Publishers / Literature Publishing
China,北京华夏盛轩图书有限公司,Publishers / Comprehensive Publishing
China,华文出版社,Publishers / Comprehensive Publishing
India,Mehta Publishing House,Publishers
India,Neeta Prakashan,Publishers
India,New Age International (P) Ltd Publishers,Publishers
India,S Chand International,Publishers
India,C J Fallon Ltd,Publishers
Ireland,Royal Dublin Society (RDS),Publishers
Ireland,Matar Publishing House,Publishers
Israel,OR-TAV Music Publications,Publishers
Israel,Steimatzky's Agency Ltd,Publishers / Audio-visual Publishing
Israel,Steinhart-Katzir Publishers Ltd,Publishers
Israel,EDT,Publishers
Israel,G Giappichelli Editore SRL,Publishers
Italy,Istituto Centrale per il Catalogo Unico delle Biblioteche Italiane e per le Informazioni Bibliografiche,Publishers
Italy,LALLI EDITORE,Publishers / Comprehensive Publishing
Italy,Liguori Editore SRL,Publishers
Italy,Mediserve SRL,Publishers
Italy,Unipress Sas,Publishers / Comprehensive Publishing
Italy,Urbaniana University Press,Publishers
Italy,株式会社地人書館,Publishers
Italy,株式会社早川書房,Publishers
Italy,株式会社檜書店,Publishers
Japan,日本工業出版株式会社,Publishers / Comprehensive Publishing
Japan,Blue Ocean Entertainment AG,Publishers / Comprehensive Publishing
Japan,Boje Verlag,Publishers / Culture & Art Publishing
Japan,五洲传播出版社,Publishers / Scholarly Publishing
Germany,中华工商联合出版社,Publishers / Children's Publishing
Germany,CIESAS,Publishers / Children's Publishing
India,Scholastic India,Publishers / Comprehensive Publishing
United Kingdom,Tangerine Designs Ltd.,Publishers
Italy,edizioni san paolo,Publishers / Religious Publishing
United Kingdom,Gallup Press UK,Publishers / Comprehensive Publishing
France,BAYARD CULTURE,Publishers
Germany,Diogenes Verlag AG,Publishers
Korea,2011首尔国际图书展,Publishers
Sweden,Bulls Press,Publishers / Children's Publishing
Canada,Bayard Canada Livres,Publishers
Germany,Marix Verlag,Publishers
Singapore,Banjo & Sons Pte Ltd,Publishers / Children's Publishing
United Kingdom,V&A Publishing,Publishers
France,Le Cherche midi,Publishers / Comprehensive Publishing
Canada,Bayard Canada Livres,Publishers / Children's Publishing
China,外语教学与研究出版社,Publishers
China,河北美术出版社有限责任公司,Publishers / Culture & Art Publishing
China,接力出版社,Publishers
China,深圳市太阳花书业发展有限公司,Publishers
China,荣宝斋出版社,Publishers / Culture & Art Publishing
China,华文出版社,Publishers
China,北岳文艺出版社,Publishers
China,朝华出版社,Publishers
China,二十一世纪出版社,Publishers / Children's Publishing
"Taiwan, China",红蚂蚁图书有限公司,Publishers
China,华龄出版社,Publishers
China,接力出版社,Publishers / Children's Publishing
China,中国金融出版社,Publishers / Economic & Financial Publishing
China,究竟文化,Publishers
China,山东美术出版社,Publishers / Culture & Art Publishing
Lithuania,15 MINUČIŲ UAB,Publishers / Magazine Publishing
Lithuania,A. BARANAUSKO IR A. VIENUOLIO-ŽUKAUSKO MEMORIALINIS MUZIEJUS,Publishers / Comprehensive Publishing
Lithuania,"AJONDA, UAB",Publishers / Culture & Art Publishing
Lithuania,"AKTĖJA, UAB",Publishers / Literature Publishing
Lithuania,"ALIO, UAB",Publishers / Scholarly Publishing
Lithuania,ALYTAUS KRAŠTOTYROS MUZIEJUS,Publishers / Economic & Financial Publishing
China,群众出版社,Publishers / Comprehensive Publishing
China,北京正清文化艺术有限责任公司,Publishers / Comprehensive Publishing
China,科学出版集团,Publishers / Comprehensive Publishing
France,Anne Carrière,Publishers
China,北京蒲蒲兰文化发展有限公司,Publishers
China,新华文轩出版传媒股份有限公司,Publishers
New Zealand,Anchor Press Ltd,Publishers / Other
United States,Zebra Press,Publishers / Comprehensive Publishing
South Africa,Zebra Press,Publishers / Comprehensive Publishing
United States,"Regenry Publishing, Inc.",Publishers / Comprehensive Publishing
Germany,Verlag Beltz & Gelberg,Publishers / Children's Publishing
Germany,Franckh Kosmos Verlags GmbH & Co. KG,Publishers / Children's Publishing
Germany,Diogenes Verlag AG,Publishers / Children's Publishing
Germany,Boje Verlag,Publishers / Children's Publishing
Other countries,Make Believe Ideas,Publishers / Children's Publishing
United Kingdom,"Little, Brown Book Group",Publishers / Comprehensive Publishing
United States,Hachette Book Group (HBG),Publishers / Comprehensive Publishing
China,中国少年儿童新闻出版总社,Publishers / Children's Publishing
China,上海文艺出版社,Publishers / Literature Publishing
China,上海财经大学出版社,Publishers / Economic & Financial Publishing
China,上海交通大学出版社,Publishers / Economic & Financial Publishing
China,东方出版中心,Publishers / Economic & Financial Publishing
China,北京金日信达文化发展有限公司,Publishers / Comprehensive Publishing
China,上海教育出版社,Publishers / Textbook Publishing
China,上海科技教育出版社,Publishers / Comprehensive Publishing
China,上海古籍出版社,Publishers / Scholarly Publishing
China,上海科学技术出版社,Publishers / Science and Technology Publishing
China,吉林出版集团,Publishers / Comprehensive Publishing
Germany,Bibliographisches Institut GmbH/ Sauerl.nder Publishing,Publishers / Children's Publishing
Germany,Peter Hammer Verlag GmbH,Publishers / Children's Publishing
Other countries,France - Bureau International de l'Edition Fran.aise,Publishers / Children's Publishing
Other countries,Kreativni Centar,Publishers / Children's Publishing
Italy,Associazione Italiana Biblioteche,Publishers / Children's Publishing
Austria,Obelisk Verlag,Publishers / Children's Publishing
Germany,Klett Kinderbuch,Publishers / Children's Publishing
Canada,Annick Press Ltd.,Publishers / Children's Publishing
Germany,Aufbau Verlag GmbH & Co. KG,Publishers / Children's Publishing
Belgium,Baeckens Books,Publishers / Children's Publishing
Germany,Eichborn Verlag,Publishers / Children's Publishing
Germany,Verlag Beltz & Gelberg,Publishers / Children's Publishing
Germany,Beltz & Gelberg,Publishers / Children's Publishing
Germany,Bloomsbury Kinderbücher und Jugendbücher,Publishers / Children's Publishing
United States,Delacorte Press Books for Young Readers,Publishers / Literature Publishing
China,人民东方传媒出版公司,Publishers
Germany,Beltz & Gelberg,Publishers
"Hong Kong, China",新雅文化事業有限公司,Publishers
United States,Scribner (SIMON & SCHUSTER),Publishers / Comprehensive Publishing
United States,Alfred A. Knopf Publisher,Publishers / Literature Publishing
Japan,株式会社 ゆまに書房,Publishers / Comprehensive Publishing
Japan,株式会社　論創社,Publishers / Comprehensive Publishing
Japan,株式会社 ゆまに書房,Publishers / Comprehensive Publishing
Japan,株式会社 绿风出版,Publishers / Scholarly Publishing
Japan,株式会社　七つ森書館,Publishers / Comprehensive Publishing
Canada,GUIDES DE VOYAGE ULYSSE,Publishers / Lifestyle Publishing
United States,Twelve Press,Publishers / Literature Publishing
United States,St. Martin’s Press,Publishers / Comprehensive Publishing
Japan,株式会社　思想社,Publishers / Literature Publishing
Japan,株式会社　晃洋書房,Publishers / Comprehensive Publishing
Japan,状況出版株式会社,Publishers / Social Science Publishing
United States,Bo Press,Publishers / Other
United States,Flying Pig Press,Publishers / Children's Publishing
United Kingdom,Shoestring Press,Publishers / Literature Publishing
United States,Lorson's Books & Press,Publishers / Other
China,上海世纪出版股份有限公司少年儿童出版社,Publishers / Children's Publishing
China,上海世纪出版股份有限公司少年儿童出版社,Publishers / Children's Publishing
Thailand,Amarin Printing & Publishing Pcl.,Publishers / Comprehensive Publishing
United States,BenBella Books,Publishers / Comprehensive Publishing
Singapore,Jacana Media,Publishers
South Africa,Van Schaik Publishers,Publishers
South Africa,Appenzeller Verlag,Publishers
South Africa,Arche Verlag AG,Publishers
Sweden,AT Verlag,Publishers
Switzerland,Atrium Verlag AG Zurich,Publishers
Switzerland,Canisius Verlag,Publishers
Switzerland,Carl-Huter-Verlag GmbH,Publishers
Switzerland,Chronos Verlag,Publishers
Japan,株式会社 日中出版,Publishers / Social Science Publishing
Estonia,Tanapaev Publishers,Publishers / Comprehensive Publishing
Japan,株式会社　サンライズ出版,Publishers / Comprehensive Publishing
India,"Jaypee Brothers Medical Publishers Pvt. Ltd.,",Publishers
India,Aditya Books Pvt. Ltd.,Publishers
India,Jaypee Brothers Medical Publishers,Publishers
China,电子工业出版社,Publishers / Comprehensive Publishing
China,清华大学出版社,Publishers / Comprehensive Publishing
China,江苏文艺出版社,Publishers / Comprehensive Publishing
China,山东科技出版社,Publishers / Science and Technology Publishing
Japan,(株)宝島社,Publishers / Comprehensive Publishing
China,广西美术出版社,Publishers / Culture & Art Publishing
China,中国法制出版社,Publishers / Literature Publishing
China,中国时代经济出版社（中国审计出版社）,Publishers / Economic & Financial Publishing
China,重庆出版社,Publishers / Comprehensive Publishing
China,上海科学技术文献出版社,Publishers / Science and Technology Publishing
"Hong Kong, China",香港萬里機構出版公司,Publishers / Comprehensive Publishing
United States,The Crown Publishing Group,Publishers / Comprehensive Publishing
Russia,"Литературно-издательское агентство ""СовА""",Publishers / Literature Publishing
"Taiwan, China",學習工場數位科技股份有限公司,Publishers / Children's Publishing
United Kingdom,Random House Bantam Press,Publishers / Comprehensive Publishing
United States,The Avon Lake Press,Publishers / Other
United States,Jacket Flap,Publishers / Comprehensive Publishing
Switzerland,Cosa Verlag,Publishers
Switzerland,Cosmos-Verlag,Publishers
Germany,Daimon Verlag AG,Publishers / Comprehensive Publishing
Switzerland,hep Verlag AG,Publishers
Germany,Herder AG Basel Verlagsauslieferungen,Publishers / Comprehensive Publishing
Switzerland,Hug Musikverlage,Publishers
Switzerland,Klett und Balmer AG Verlag,Publishers
Switzerland,La Maison de la Bible,Publishers
Switzerland,Libelle Verlag,Publishers
Switzerland,Manus Verlag AG,Publishers
Switzerland,PETER LANG INTERNATIONAL ACADEMIC PUBLISHERS,Publishers
Switzerland,RECOM GmbH & Co KG,Publishers
Switzerland,Tobler Verlag AG,Publishers
Switzerland,Verlag A Vogel AG,Publishers / Comprehensive Publishing
Switzerland,KARL KRÄMER VERLAG,Publishers
Switzerland,"Verlag Nagel & Kimche AG 属于Carl Hanser Verlag, München",Publishers
Switzerland,Verlag Organisator AG,Publishers
Germany,rueggerverlag,Publishers / Culture & Art Publishing
Japan,株式会社 现代書館,Publishers / Social Science Publishing
Japan,株式会社 御茶の水書房,Publishers / Social Science Publishing
France,LITO (EDITIONS),Publishers / Children's Publishing
United Kingdom,Oxford University Press,Publishers
Germany,der blaue reiter  Verlag für Philosophie,Publishers / Social Science Publishing
Thailand,"Luckpim Publishing Co., Ltd",Publishers
Japan,株式会社 日経BP社,Publishers / Comprehensive Publishing
Japan,株式会社  JTPpublishing,Publishers / Culture & Art Publishing
Japan,株式会社 南山舍,Publishers / Comprehensive Publishing
Japan,株式会社　海鳥社,Publishers / Comprehensive Publishing
Japan,株式会社　ウェッジ,Publishers / Comprehensive Publishing
Ukraine,Издательство «Пеликан»,Publishers / Literature Publishing
Ukraine,Издательство «Пеликан»,Publishers / Literature Publishing
France,LIEUX DITS EDITIONS,Publishers / Comprehensive Publishing
Spain,EDITORIAL GALAXIA,Publishers / Comprehensive Publishing
France,editions tredaniel,Publishers / Comprehensive Publishing
India,"Bhalani Medical Book House, Parel",Publishers
Spain,FAKTORIA K DE LIBROS,Publishers / Comprehensive Publishing
Spain,Ir Indo Edicións S.L.,Publishers / Comprehensive Publishing
Russia,Издательство «Просвещение»,Publishers / Textbook Publishing
India,Aditya Books Pvt. Ltd.,Publishers
India,Asian Books Pvt. Ltd.,Publishers
India,Jaypee Brothers Medical Publishers,Publishers
India,Jaypee Brothers Medical Publishers,Publishers
India,Mehul Book Sales,Publishers
India,Suyog Publishers & Distributors Pvt. Ltd.,Publishers / Comprehensive Publishing
France,RHONE,Publishers
France,Scrinéo,Publishers
Japan,株式会社　カナリア書房,Publishers / Social Science Publishing
Japan,株式会社 ワニブックス,Publishers / Scholarly Publishing
Russia,Издательство «ТЦ СФЕРА»,Publishers / Children's Publishing
France,LES PETITS MATINS,Publishers / Comprehensive Publishing
China,新星出版社,Publishers
Russia,Издательство ЭНАС,Publishers / Comprehensive Publishing
Japan,株式会社 マドカ出版,Publishers / Social Science Publishing
Japan,ワック株式会社,Publishers / Social Science Publishing
United States,Atria Publishing,Publishers / Literature Publishing
France,MAGELLAN & CIE,Publishers / Comprehensive Publishing
Thailand,"LUCKPIM PUBLISHING CO.,LTD",Publishers
United Kingdom,Oxford University Press,Publishers / Comprehensive Publishing
India,Vikas Medical Book House,Publishers / Scholarly Publishing
India,Mehul Book Sales,Publishers
Thailand,"Siam Inter Multimedia Public Co., Ltd.",Publishers / Magazine Publishing
Australia,Oxford University Press（Austrilia & New Zealand),Publishers / Comprehensive Publishing
Thailand,Amarin Printing & Publishing Pcl.,Publishers / Comprehensive Publishing
France,Minuit,Publishers
Canada,GUIDES DE VOYAGE ULYSSE,Publishers / Lifestyle Publishing
Canada,Captus Press Inc,Publishers / Comprehensive Publishing
France,LES EDITIONS DU LEOPARD MASQUE/ LA DAGUE,Publishers / Comprehensive Publishing
France,LES LIVRES DU DRAGON D'OR,Publishers / Children's Publishing
France,LOMBARD (EDITIONS LE),Publishers / Comics Publishing
China,明天出版社,Publishers / Children's Publishing
Austria,SPIRALE-VERLAG,Publishers / Literature Publishing
Japan,株式会社 風響社,Publishers / Comprehensive Publishing
Japan,株式会社 桜の花出版,Publishers / Social Science Publishing
France,Editions Jourdan,Publishers / Comprehensive Publishing
Belgium,L'ÉTRANGÈRE,Publishers / Comprehensive Publishing
Germany,Verlagshaus Wohlfarth,Publishers
Germany,Weidler Buchverlag Berlin GbR,Publishers
Germany,Weidlich Verlag,Publishers
Germany,Wolke Verlags GmbH,Publishers
Germany,Xenos Verlagsgesellschaft mbH,Publishers
Germany,Zeitgut Verlag GmbH,Publishers / Comprehensive Publishing
Greece,Hestia-I D Hestia-Kollapos & Co Corporation,Publishers
Greece,Kapon Editions,Publishers
Greece,Michalis Toubis SA,Publishers / Comprehensive Publishing
Russia,"Издательский Дом ""РАВНОВЕСИЕ""",Publishers / Comprehensive Publishing
Russia,Издательство «Эгмонт Россия»,Publishers / Children's Publishing
Russia,Издательство «Самокат»,Publishers / Children's Publishing
China,北京崇贤馆图书有限公司,Publishers
United States,Plum Park Press,Publishers / Literature Publishing
United States,Sharp Handmade Books,Publishers / Other
United States,Flying Paper Press,Publishers / Culture & Art Publishing
China,新疆青少年出版社,Publishers
France,Martinique Editions,Publishers / Comprehensive Publishing
China,北京诚成可一文化传媒有限公司,Publishers
China,北京大学出版社,Publishers
China,北京大学出版社,Publishers
China,羊城晚报出版社,Publishers / Comprehensive Publishing
China,Guangxi Normal University Press Group,Publishers
China,人民交通出版社,Publishers
China,中国青年出版社,Publishers / Comprehensive Publishing
China,光明日报出版社,Publishers / Comprehensive Publishing
Russia,"Издательства ""Книжники""",Publishers / Comprehensive Publishing
Switzerland,EDITIONS LA JOIE DE LIRE SA,Publishers / Comics Publishing
Russia,Мир Детства Медиа (Открытый мир),Publishers / Children's Publishing
Japan,株式会社 幻冬舍,Publishers / Comprehensive Publishing
Spain,EDITORIAL EDINUMEN,Publishers / Textbook Publishing
Japan,株式会社鳥影社,Publishers / Comprehensive Publishing
China,深圳市太阳花书业发展有限公司,Publishers / Children's Publishing
China,未来出版社,Publishers
China,光明日报出版社,Publishers
Germany,Luther-Verlag GmbH,Publishers / Literature Publishing
Spain,BROMERA,Publishers
Canada,Lone Pine Publishing,Publishers
Russia,Издательство «Медный всадник»,Publishers / Culture & Art Publishing
Germany,Verlag an der ESTE,Publishers / Literature Publishing
France,L'ORIGINEL,Publishers / Comprehensive Publishing
Germany,Tibia-Press Verlag,Publishers / Comprehensive Publishing
France,LATTES (EDITIONS JEAN CLAUDE),Publishers / Comprehensive Publishing
France,Editions Les Bons Caractères,Publishers / Comprehensive Publishing
Australia,Bookarts Canberra,Publishers
Netherlands,Hans & Tine Krijnen,Publishers / Comprehensive Publishing
Japan,株式会社 三元社,Publishers / Comprehensive Publishing
Greece,Minoas SA,Publishers
Greece,Patakis Publishers,Publishers
"Hong Kong, China",Witman Publishing Co (HK) Ltd,Publishers
Hungary,Mueszaki Konyvkiado Ltd,Publishers
Canada,PRESSES DE L'ALUMINIUM,Publishers
United Kingdom,Helena Mallett,Publishers
United Kingdom,Amethyst Angel,Publishers
United Kingdom,Dimond Press,Publishers
United States,"Left Coast Press, Inc.",Publishers
Russia,Azbooka-Atticus,Publishers / Comprehensive Publishing
Russia,Издательство „Композитор”,Publishers / Culture & Art Publishing
United States,PBA Galleries,Publishers / Comprehensive Publishing
Japan,株式会社　水曜社,Publishers / Comprehensive Publishing
Japan,株式会社　森話社,Publishers / Comprehensive Publishing
Mexico,Advanced Marketing,Publishers / Comprehensive Publishing
Mexico,"Arane, Editorial",Publishers
Thailand,ARip Public Company Limited,Publishers
Thailand,Jamsai Publishing Company Limited,Publishers
Thailand,Pada Education Company Limited,Publishers
Thailand,Plan Parithat Company Limited,Publishers
Thailand,Top Publishing Company Limited,Publishers / Comprehensive Publishing
Thailand,VBT Communications Company Limited,Publishers / Audio-visual Publishing
Thailand,YM Creative Group Limited,Publishers / Children's Publishing
Thailand,Rose Media Entertainment,Publishers / Comprehensive Publishing
Japan,株式会社　青林堂,Publishers / Lifestyle Publishing
Japan,図書出版　生活思想社,Publishers / Social Science Publishing
Japan,情況出版株式会社,Publishers / Social Science Publishing
Singapore,Pan Asia Publishing Pte Ltd,Publishers / Children's Publishing
France,Milan,Publishers
France,EFEO,Publishers
China,化学工业出版社,Publishers / Comprehensive Publishing
United States,PBA Galleries,Publishers / Comprehensive Publishing
Austria,Literaturverlag Droschl GmbH,Publishers / Literature Publishing
United States,Codhill Press,Publishers / Literature Publishing
Japan,株式会社　実業之日本社,Publishers / Comprehensive Publishing
United States,Tanapaev Publishers,Publishers
